ts,load_mbps
2022-04-27 19:15:00,29932236.83333333
2022-04-27 19:30:00,29880341.33333333
2022-04-27 19:45:00,30914320.00000001
2022-04-27 20:00:00,31237557.666666646
2022-04-27 20:15:00,30721832.666666668
2022-04-27 20:30:00,31596977.666666668
2022-04-27 20:45:00,32235918.333333332
2022-04-27 21:00:00,32513002.666666675
2022-04-27 21:15:00,32503953.66666668
2022-04-27 21:30:00,32745073.333333336
2022-04-27 21:45:00,32924325.000000015
2022-04-27 22:00:00,33337472.999999996
2022-04-27 22:15:00,33191704.666666627
2022-04-27 22:30:00,33020414.333333343
2022-04-27 22:45:00,33498891.33333333
2022-04-27 23:00:00,34111996.99999999
2022-04-27 23:15:00,34376392.33333334
2022-04-27 23:30:00,35575521.33333333
2022-04-27 23:45:00,36111433.33333334
2022-04-28 00:00:00,36933502.00000001
2022-04-28 00:15:00,36949506.33333331
2022-04-28 00:30:00,38856891.333333366
2022-04-28 00:45:00,40569724.666666664
2022-04-28 01:00:00,43783849.33333336
2022-04-28 01:15:00,45134311.33333333
2022-04-28 01:30:00,45727763.66666667
2022-04-28 01:45:00,46610476.66666668
2022-04-28 02:00:00,48213706.99999999
2022-04-28 02:15:00,48240062.66666665
2022-04-28 02:30:00,46893040.00000001
2022-04-28 02:45:00,45909601.3333333
2022-04-28 03:00:00,45645238.66666664
2022-04-28 03:15:00,45656068.33333335
2022-04-28 03:30:00,44218145.999999925
2022-04-28 03:45:00,43445777.99999998
2022-04-28 04:00:00,41545127.99999997
2022-04-28 04:15:00,39544892.16666668
2022-04-28 04:30:00,38393154.66666669
2022-04-28 04:45:00,37751304.99999998
2022-04-28 05:00:00,34857489.00000001
2022-04-28 05:15:00,33750916.66666666
2022-04-28 05:30:00,31475560.333333343
2022-04-28 05:45:00,30130731.00000001
2022-04-28 06:00:00,28374203.333333354
2022-04-28 06:15:00,27407045.00000002
2022-04-28 06:30:00,25855383.66666667
2022-04-28 06:45:00,25268602.99999998
2022-04-28 07:00:00,23950566.66666666
2022-04-28 07:15:00,23577798.33333335
2022-04-28 07:30:00,22119492.33333334
2022-04-28 07:45:00,21480664.333333336
2022-04-28 08:00:00,20338753.999999985
2022-04-28 08:15:00,19773488.333333332
2022-04-28 08:30:00,19660086.333333313
2022-04-28 08:45:00,19373031.999999993
2022-04-28 09:00:00,18474660.33333333
2022-04-28 09:15:00,18348505.666666668
2022-04-28 09:30:00,18319113.33333333
2022-04-28 09:45:00,18543818.33333333
2022-04-28 10:00:00,19133833.666666664
2022-04-28 10:15:00,19306462.999999993
2022-04-28 10:30:00,19374932.33333334
2022-04-28 10:45:00,19392853.000000007
2022-04-28 11:00:00,19626655.66666668
2022-04-28 11:15:00,20187398.66666665
